Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Sends,Total Ascent,Falls,Total Rest,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2023-09-30 20:51:18,false,"Strength","0.00","204","00:33:33","126","164","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","87","10","--","--","--","--","--","--","--","0:00","26.0","0:00","No","33:33.13","1","28.0","--","--","--","--","--","--","--","--","00:10:31","00:33:33","--","--"
Strength Training,2023-09-28 21:10:18,false,"Push + Flexion","0.00","198","00:40:18","115","147","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","91","9","--","--","--","--","--","--","--","0:00","29.0","0:00","No","40:17.79","1","31.0","--","--","--","--","--","--","--","--","00:09:07.7","00:40:18","--","--"
Strength Training,2023-09-26 20:43:20,false,"Pull + Extension","0.00","152","00:28:42","118","159","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","103","10","--","--","--","--","--","--","--","0:00","28.0","0:00","No","28:42.20","1","30.0","--","--","--","--","--","--","--","--","00:07:27.9","00:28:42","--","--"
Strength Training,2023-09-24 22:25:00,false,"Push + Flexion","0.00","118","00:35:35","97","124","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","86","8","--","--","--","--","--","--","--","0:00","31.0","0:00","No","35:34.59","1","33.0","--","--","--","--","--","--","--","--","00:06:50.2","00:35:35","--","--"
Strength Training,2023-09-23 19:09:00,false,"Pull + Extension","0.00","209","00:42:06","116","151","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","100","10","--","--","--","--","--","--","--","0:00","30.0","0:00","No","42:05.31","1","31.0","--","--","--","--","--","--","--","--","00:07:38.8","00:42:05","--","--"
Strength Training,2023-09-22 17:54:36,false,"Push + Flexion","0.00","192","00:37:38","118","145","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","87","9","--","--","--","--","--","--","--","0:00","30.0","0:00","No","37:38.42","1","32.0","--","--","--","--","--","--","--","--","00:09:33.1","00:37:38","--","--"
Strength Training,2023-09-21 16:45:00,false,"Pull + Squat","0.00","203","00:41:31","114","168","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","109","11","--","--","--","--","--","--","--","0:00","31.0","0:00","No","41:30.96","1","32.0","--","--","--","--","--","--","--","--","00:09:36.9","00:41:31","--","--"
Strength Training,2023-09-20 21:46:00,false,"Push + Flexion + Lateral","0.00","245","00:54:32","112","155","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","101","10","--","--","--","--","--","--","--","0:00","29.0","0:00","No","54:32.48","1","31.0","--","--","--","--","--","--","--","--","00:11:07","00:54:32","--","--"
Strength Training,2023-09-19 21:28:00,false,"Pull + Extension","0.00","247","00:49:30","118","151","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","108","12","--","--","--","--","--","--","--","0:00","29.0","0:00","No","49:30.24","1","31.0","--","--","--","--","--","--","--","--","00:08:54.3","00:49:30","--","--"
Strength Training,2023-09-17 20:22:00,false,"Push + Flexion","0.00","193","00:43:54","112","143","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","79","8","--","--","--","--","--","--","--","0:00","29.0","0:00","No","43:54.46","1","31.0","--","--","--","--","--","--","--","--","00:08:50.0","00:43:54","--","--"
Strength Training,2023-09-16 19:16:00,false,"Pull + Extension","0.00","151","00:30:19","115","139","1.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","93","9","--","--","--","--","--","--","--","0:00","29.0","0:00","No","30:19.01","1","30.0","--","--","--","--","--","--","--","--","00:07:38.2","00:30:19","--","--"
Strength Training,2023-09-15 18:12:00,false,"Push + Flexion","0.00","184","00:40:27","113","142","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","77","8","--","--","--","--","--","--","--","0:00","29.0","0:00","No","40:26.92","1","31.0","--","--","--","--","--","--","--","--","00:07:25.1","00:40:27","--","--"
Strength Training,2023-09-13 18:35:15,false,"Pull + Extension","0.00","119","00:29:40","105","128","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","72","8","--","--","--","--","--","--","--","0:00","29.0","0:00","No","29:39.50","1","31.0","--","--","--","--","--","--","--","--","00:08:12.4","00:29:40","--","--"
Walking,2023-09-12 21:06:33,false,"Kocasinan Walking","2.84","158","00:35:39","111","129","1.3","103","109","12:35","11:27","--","1","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","25.0","0:00","No","10:02.27","3","29.0","--","--","--","--","--","--","--","--","00:35:39","00:35:39","1,049","1,051"
Strength Training,2023-09-12 15:24:00,false,"Push + Flexion","0.00","187","00:41:07","110","134","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","87","8","--","--","--","--","--","--","--","0:00","30.0","0:00","No","41:06.92","1","31.0","--","--","--","--","--","--","--","--","00:07:54.7","00:41:07","--","--"
Strength Training,2023-09-11 16:58:00,false,"Pull + Lateral","0.00","103","00:27:04","98","133","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","73","8","--","--","--","--","--","--","--","0:00","31.0","0:00","No","27:03.71","1","32.0","--","--","--","--","--","--","--","--","00:09:00.5","00:27:04","--","--"
Strength Training,2023-09-10 19:00:00,false,"Push + Flexion","0.00","178","00:40:37","106","137","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","73","8","--","--","--","--","--","--","--","0:00","29.0","0:00","No","40:36.61","1","31.0","--","--","--","--","--","--","--","--","00:08:11.6","00:40:37","--","--"
Strength Training,2023-09-09 18:17:00,false,"Pull + Extension","0.00","158","00:27:59","119","147","1.9","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","76","8","--","--","--","--","--","--","--","0:00","30.0","0:00","No","27:58.41","1","31.0","--","--","--","--","--","--","--","--","00:07:33.9","00:28:11","--","--"
Strength Training,2023-09-07 18:32:00,false,"Push + Flexion","0.00","115","00:29:56","100","136","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","73","8","--","--","--","--","--","--","--","0:00","31.0","0:00","No","29:55.41","1","32.0","--","--","--","--","--","--","--","--","00:07:28.6","00:29:55","--","--"
Strength Training,2023-09-06 16:27:12,false,"Pull + Extension","0.00","135","00:25:51","114","137","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","69","8","--","--","--","--","--","--","--","0:00","31.0","0:00","No","25:50.74","1","32.0","--","--","--","--","--","--","--","--","00:06:37.3","00:25:51","--","--"
Strength Training,2023-09-05 20:55:13,false,"Strength","0.00","163","00:37:05","107","139","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","82","9","--","--","--","--","--","--","--","0:00","31.0","0:00","No","37:05.01","1","32.0","--","--","--","--","--","--","--","--","00:12:20","00:37:05","--","--"
Strength Training,2023-09-04 16:12:02,false,"Push","0.00","76","00:17:52","103","123","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","38","5","--","--","--","--","--","--","--","0:00","32.0","0:00","No","17:51.90","1","33.0","--","--","--","--","--","--","--","--","00:04:58.0","00:17:52","--","--"
Strength Training,2023-09-03 19:21:01,false,"Pull + Lateral","0.00","170","00:35:00","112","134","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","91","10","--","--","--","--","--","--","--","0:00","31.0","0:00","No","35:00.42","1","32.0","--","--","--","--","--","--","--","--","00:14:53","00:35:00","--","--"
Cardio,2023-09-03 13:39:35,false,"Jump Rope","0.00","105","00:13:53","132","153","2.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","30.0","0:00","No","13:52.97","1","31.0","--","--","--","--","--","--","--","--","00:00:00","00:13:53","--","--"
Strength Training,2023-09-02 21:23:52,false,"Push + Flexion","0.00","125","00:27:17","108","148","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","68","8","--","--","--","--","--","--","--","0:00","30.0","0:00","No","27:16.96","1","32.0","--","--","--","--","--","--","--","--","00:08:18.0","00:27:17","--","--"
Cardio,2023-09-02 14:18:24,false,"Jump Rope","0.00","132","00:20:09","125","158","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","30.0","0:00","No","20:09.42","1","33.0","--","--","--","--","--","--","--","--","00:00:00","00:23:59","--","--"
