Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Sends,Total Ascent,Falls,Total Rest,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2023-07-24 15:15:20,false,"Push + Flexion Chains","0.00","137","00:25:12","113","136","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","97","10","--","--","--","--","--","--","--","0:00","32.0","0:00","No","25:12.30","1","33.0","--","--","--","--","--","--","--","--","00:10:45","00:25:12","--","--"
Strength Training,2023-07-23 11:10:39,false,"Pull and Lateral Chains","0.00","158","00:25:11","120","142","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","95","11","--","--","--","--","--","--","--","0:00","32.0","0:00","No","25:11.24","1","34.0","--","--","--","--","--","--","--","--","00:12:42","00:25:11","--","--"
Yoga,2023-07-23 08:32:23,false,"Yoga","--","76","00:24:11","94","126","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","1","--","--","--","--","--","--","--","0:00","31.0","0:00","No","24:11.10","1","33.0","19","12","24","12","33","45","63","99","00:24:11","00:25:31","--","--"
Yoga,2023-07-22 21:29:00,false,"Yoga","--","105","00:21:04","113","134","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","1","--","--","--","--","--","--","--","0:00","32.0","0:00","No","21:03.99","1","34.0","18","12","22","3","92","95","93","99","00:21:04","00:24:25","--","--"
Strength Training,2023-07-22 20:48:22,false,"Push & Flexion Chain","0.00","126","00:22:33","114","140","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","89","9","--","--","--","--","--","--","--","0:00","33.0","0:00","No","22:32.73","1","33.0","--","--","--","--","--","--","--","--","00:10:02","00:22:33","--","--"
Strength Training,2023-07-21 22:44:21,false,"Squat Chain","0.00","127","00:20:25","118","170","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","54","7","--","--","--","--","--","--","--","0:00","32.0","0:00","No","20:25.42","1","33.0","--","--","--","--","--","--","--","--","00:11:29","00:20:25","--","--"
Cardio,2023-07-21 20:09:08,false,"JumpJump Pro","0.00","93","00:10:14","139","158","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","32.0","0:00","No","10:13.61","1","33.0","--","--","--","--","--","--","--","--","00:00:00","00:11:14","112","113"
Breathwork,2023-07-21 19:08:22,false,"Relax and Focus (Short)","--","--","00:05:34","106","116","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","34.0","0:00","No","00:04.00","77","34.0","4","4","4","8","89","97","93","97","00:00:00","00:05:35.6","--","--"
Strength Training,2023-07-21 18:36:00,false,"Pull Day","0.00","93","00:16:33","114","131","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","59","8","--","--","--","--","--","--","--","0:00","33.0","0:00","No","16:33.01","1","34.0","--","--","--","--","--","--","--","--","00:07:39.0","00:16:33","--","--"
Strength Training,2023-07-20 17:54:57,false,"Push Day","0.00","119","00:23:02","110","138","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","64","7","--","--","--","--","--","--","--","0:00","33.0","0:00","No","23:01.90","1","34.0","--","--","--","--","--","--","--","--","00:09:27.7","00:23:02","--","--"
Strength Training,2023-07-19 16:36:24,false,"Pull Day","0.00","149","00:22:49","121","143","1.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","64","7","--","--","--","--","--","--","--","0:00","32.0","0:00","No","22:48.68","1","33.0","--","--","--","--","--","--","--","--","00:09:35.2","00:22:49","--","--"
Strength Training,2023-07-18 17:34:59,false,"Strength","0.00","123","00:20:28","116","144","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","59","5","--","--","--","--","--","--","--","0:00","32.0","0:00","No","20:28.41","1","33.0","--","--","--","--","--","--","--","--","00:10:03","00:20:28","--","--"
Strength Training,2023-07-17 23:03:16,false,"Strength","0.00","63","00:14:12","102","123","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","34","5","--","--","--","--","--","--","--","0:00","30.0","0:00","No","14:11.55","1","32.0","--","--","--","--","--","--","--","--","00:05:16.6","00:14:12","--","--"
Walking,2023-07-17 21:24:00,false,"Sisli Walking","3.94","240","01:03:05","94","116","0.6","70","152","16:01","5:35","12","102","0.88","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","27.0","0:00","No","10:49.87","4","32.0","--","--","--","--","--","--","--","--","00:47:07","01:07:07","13","118"
Strength Training,2023-07-15 18:48:55,false,"Strength","0.00","145","00:19:32","129","153","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","57","6","--","--","--","--","--","--","--","0:00","33.0","0:00","No","19:32.22","1","33.0","--","--","--","--","--","--","--","--","00:06:36.5","00:19:32","--","--"
Cardio,2023-07-15 18:19:27,false,"Cardio","0.00","157","00:20:27","130","170","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","33.0","0:00","No","20:27.04","1","34.0","--","--","--","--","--","--","--","--","00:00:00","00:22:35","--","--"
Yoga,2023-07-14 18:01:00,false,"Yoga","--","135","00:26:27","113","140","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","1","--","--","--","--","--","--","--","0:00","32.0","0:00","No","26:27.19","1","34.0","20","12","24","-15","93","78","91","99","00:26:27","00:26:27","--","--"
Strength Training,2023-07-14 17:18:25,false,"Strength","0.00","73","00:14:19","110","140","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","32","5","--","--","--","--","--","--","--","0:00","33.0","0:00","No","14:18.66","1","34.0","--","--","--","--","--","--","--","--","00:06:08.2","00:17:44","--","--"
Yoga,2023-07-13 17:41:08,false,"Yoga","--","140","00:27:06","115","144","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","1","--","--","--","--","--","--","--","0:00","32.0","0:00","No","27:05.72","1","33.0","16","12","19","65","34","99","95","99","00:27:06","00:27:06","--","--"
Indoor Climbing,2023-07-12 18:35:49,false,"DuvarX #2","--","680","02:12:37","124","159","2.4","--","--","--","--","33","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","15","26:56","7","7","33","9","1:45:41","0:00","28.0","0:00","No","02:12:37.09","1","32.0","--","--","--","--","--","--","--","--","00:00:00","02:19:47","45","52"
Walking,2023-07-06 21:27:09,false,"Kocasinan Walking","1.39","80","00:19:01","102","113","0.4","91","125","13:41","8:33","5","2","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","30.0","0:00","No","05:28.03","2","31.0","--","--","--","--","--","--","--","--","00:18:12","00:19:02","1,048","1,053"
Strength Training,2023-07-05 21:44:40,false,"Strength","0.00","81","00:17:03","106","129","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","26","5","--","--","--","--","--","--","--","0:00","31.0","0:00","No","17:03.48","1","32.0","--","--","--","--","--","--","--","--","00:04:56.2","00:17:03","--","--"
Walking,2023-07-05 20:56:05,false,"Kocasinan Walking","1.45","90","00:20:57","109","120","0.5","88","107","14:26","10:42","4","2","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","29.0","0:00","No","08:00.57","2","31.0","--","--","--","--","--","--","--","--","00:18:50","00:21:45","1,049","1,086"
Strength Training,2023-07-04 20:05:07,false,"Strength","0.00","146","00:25:45","114","139","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","65","9","--","--","--","--","--","--","--","0:00","30.0","0:00","No","25:45.07","1","32.0","--","--","--","--","--","--","--","--","00:08:23.3","00:28:20","--","--"
Strength Training,2023-06-30 22:37:22,false,"Strength","0.00","140","00:22:02","120","143","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","56","8","--","--","--","--","--","--","--","0:00","30.0","0:00","No","22:02.32","1","31.0","--","--","--","--","--","--","--","--","00:08:36.8","00:22:12","--","--"
Strength Training,2023-06-21 20:46:46,false,"Strength","0.00","148","00:33:20","104","130","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","71","8","--","--","--","--","--","--","--","0:00","31.0","0:00","No","33:20.12","1","32.0","--","--","--","--","--","--","--","--","00:15:56","00:33:20","--","--"
Indoor Climbing,2023-06-20 16:41:37,false,"DuvarX #1","--","524","01:36:27","124","160","2.4","--","--","--","--","38","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","13","20:00","6","10","38","4","1:16:27","0:00","29.0","0:00","No","01:36:27.05","1","32.0","--","--","--","--","--","--","--","--","00:00:00","01:36:55","35","42"
Bouldering,2023-06-16 17:09:26,false,"Bouldering","--","32","00:04:12.8","124","132","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","1","4:13","--","--","--","--","--","0:00","29.0","0:00","No","04:12.79","1","30.0","--","--","--","--","--","--","--","--","00:00:00","00:07:31.0","--","--"
Hiking,2023-06-14 18:07:14,false,"Ayvalik Hiking","2.67","298","01:12:01","105","129","0.7","47","233","27:01","6:37","86","86","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","29.0","0:00","No","01:12:00.59","1","32.0","--","--","--","--","--","--","--","--","00:35:43","01:26:08","1","86"
Indoor Climbing,2023-06-07 18:33:10,false,"Indoor Climbing","--","19","00:02:55.6","117","125","0.2","--","--","--","--","1","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","1","2:56","1","1","1","--","--","0:00","27.0","0:00","No","02:55.60","1","27.0","--","--","--","--","--","--","--","--","00:00:00","00:03:00.9","133","136"
Walking,2023-06-04 15:44:39,false,"Tuzla Walking","2.06","124","00:23:33","107","130","0.6","108","159","11:27","9:18","38","37","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","26.0","0:00","No","03:20.02","3","28.0","--","--","--","--","--","--","--","--","00:23:32","00:23:35","131","170"
Walking,2023-06-03 22:26:37,false,"Tuzla Walking","0.72","75","00:15:04","113","132","0.4","67","130","20:48","12:40","15","14","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","25.0","0:00","No","15:03.96","1","27.0","--","--","--","--","--","--","--","--","00:09:32","00:15:04","158","170"
Walking,2023-06-01 20:15:24,false,"Tuzla Walking","2.22","140","00:33:25","109","124","0.5","92","109","15:04","12:19","36","10","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","24.0","0:00","No","04:31.70","3","26.0","--","--","--","--","--","--","--","--","00:32:27","00:33:25","137","167"
Yoga,2023-05-31 18:10:33,false,"Yoga","--","297","01:02:04","110","137","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","--","1","--","--","--","--","--","--","--","0:00","28.0","0:00","No","01:02:04.11","1","30.0","17","9","24","6","93","99","93","100","01:02:04","01:02:05","--","--"
Walking,2023-05-30 23:53:54,false,"Tuzla Walking","1.94","143","00:30:14","99","125","0.4","82","124","15:36","10:02","31","6","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","--","--","--","--","--","--","--","--","0:00","23.0","0:00","No","06:32.96","3","27.0","--","--","--","--","--","--","--","--","00:24:19","00:30:15","129","159"
